All url,,,,Shuffle,,,Ordered,
,,,,http://en.cppreference.com/w/,32071,,www.msn.com/,142
1,www.msn.com/,142,,http://stackoverflow.com/,245735,,https://yahoo.com/,372
2,https://yahoo.com/,372,,https://www.python.org/,46996,,http://curl.haxx.se/libcurl/c/,5451
3,http://curl.haxx.se/libcurl/c/,5451,,https://twitter.com/,72355,,https://instagram.com/,13728
4,https://instagram.com/,13728,,http://www.wordreference.com/,24139,,https://github.com/,16763
5,https://github.com/,16763,,https://thrift.apache.org/,24141,,http://www.coppeliarobotics.com/,21976
6,http://www.coppeliarobotics.com/,21976,,http://www.ros.org/,33137,,https://www.gnu.org/,23506
7,https://www.gnu.org/,23506,,https://github.com/,16763,,http://www.wordreference.com/,24139
8,http://www.wordreference.com/,24139,,https://www.google.fr/,53553,,https://thrift.apache.org/,24141
9,https://thrift.apache.org/,24141,,http://www.apple.com/,30746,,http://www.apple.com/,30746
10,http://www.apple.com/,30746,,https://www.wikipedia.org/,42852,,http://en.cppreference.com/w/,32071
11,http://en.cppreference.com/w/,32071,,http://www.coppeliarobotics.com/,21976,,http://www.ros.org/,33137
12,http://www.ros.org/,33137,,https://yahoo.com/,,,https://www.linkedin.com/,41223
13,https://www.linkedin.com/,41223,,https://thrift.apache.org/,24141,,https://www.wikipedia.org/,42852
14,https://www.wikipedia.org/,42852,,https://www.gnu.org/,23506,,https://www.python.org/,46996
15,https://www.python.org/,46996,,https://www.bing.com/,64592,,https://www.google.fr/,53553
16,https://www.google.fr/,53553,,https://www.bing.com/,64592,,https://www.bing.com/,64592
17,https://www.bing.com/,64592,,https://www.wikipedia.org/,42852,,https://twitter.com/,72355
18,https://twitter.com/,72355,,https://yahoo.com/,372,,https://www.dropbox.com/,156416
19,https://www.dropbox.com/,156416,,www.msn.com/,142,,http://www.ebay.com/,165714
20,http://www.ebay.com/,165714,,http://en.cppreference.com/w/,32071,,https://www.pinterest.com/,211073
21,https://www.pinterest.com/,211073,,http://www.coppeliarobotics.com/,21976,,http://stackoverflow.com/,245735
22,http://stackoverflow.com/,245735,,https://www.pinterest.com/,211073,,http://www.amazon.com/,423960
23,http://www.amazon.com/,423960,,http://stackoverflow.com/,245735,,www.msn.com/,142
,,,,http://www.coppeliarobotics.com/,21976,,https://yahoo.com/,372
,,,,https://twitter.com/,72355,,http://curl.haxx.se/libcurl/c/,5451
,,,,http://www.ebay.com/,165714,,https://instagram.com/,13728
,,,,http://www.ros.org/,33137,,https://github.com/,16763
,,,,http://www.ebay.com/,165714,,http://www.coppeliarobotics.com/,21976
,,,,https://www.pinterest.com/,211073,,https://www.gnu.org/,23506
,,,,http://en.cppreference.com/w/,32071,,http://www.wordreference.com/,24139
,,,,https://www.google.fr/,53553,,https://thrift.apache.org/,24141
,,,,http://www.ros.org/,33137,,http://www.apple.com/,30746
,,,,www.msn.com/,142,,http://en.cppreference.com/w/,32071
,,,,https://thrift.apache.org/,24141,,http://www.ros.org/,33137
,,,,https://www.wikipedia.org/,42852,,https://www.linkedin.com/,41223
,,,,http://en.cppreference.com/w/,32071,,https://www.wikipedia.org/,42852
,,,,https://www.gnu.org/,23506,,https://www.python.org/,46996
,,,,https://www.pinterest.com/,211073,,https://www.google.fr/,53553
,,,,https://twitter.com/,72355,,https://www.bing.com/,64592
,,,,https://www.dropbox.com/,156416,,https://twitter.com/,72355
,,,,https://www.gnu.org/,23506,,https://www.dropbox.com/,156416
,,,,http://www.ros.org/,33137,,http://www.ebay.com/,165714
,,,,https://www.dropbox.com/,156416,,https://www.pinterest.com/,211073
